gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
HLA-DQB2,0.312,-0.0373,0.2599,0.3318,0.4993,0.8448,0.0849,0.5419,0.3065,0.7732,0.5664,0.1872,0.6787,0.3009,0.2581,0.1125,0.2209,-0.079,-0.3181,0.3074,0.4954,1.029,0.2092,0.2417,0.4047,0.6032,0.5321,0.6878,0.5799,0.164,0.0894,-0.0704
PROM2,0.1971,-0.0,0.026,0.2636,0.7041,0.533,0.0078,-0.0074,0.71,-0.0516,0.7591,0.0958,-0.2981,-0.1844,-0.0377,-0.0504,0.5926,0.6778,-0.2054,-0.1473,0.505,0.4054,-0.0036,-0.0856,-0.0084,0.0267,-0.0821,0.016,0.0635,0.3257,-0.0689,-0.0121
TMEM184A,0.3328,0.3601,-0.2268,0.1408,0.6771,0.0426,0.2715,-0.0,0.7551,-0.0017,0.4397,-0.0051,-0.1577,-0.0946,-0.2557,-0.001,0.3327,0.1912,-0.1257,-0.0646,0.3987,-0.0811,-0.0061,-0.0483,-0.116,0.1064,-0.2728,-0.1014,0.1939,0.6116,0.1039,-0.0138
DSC2,-0.1522,-0.0483,0.3201,0.2212,1.2333,0.3981,0.4239,-0.0706,1.0248,0.0987,1.056,0.2802,0.3339,0.2584,0.0432,0.0317,0.287,0.598,-0.1684,0.2473,0.7519,0.3577,-0.0168,0.4555,0.3551,0.4806,0.6408,0.2743,0.3069,0.7446,0.5389,-0.0202
LYPD6B,0.1107,-0.0172,0.2989,0.3819,0.6297,1.3764,0.5038,-0.0697,1.0967,-0.0614,0.5702,0.0474,-0.1065,-0.0885,-0.0661,-0.0577,0.1956,0.6876,-0.2269,-0.0686,1.1282,0.3735,0.0033,-0.114,0.1121,-0.2856,-0.7307,0.127,-0.0029,0.93,1.1072,-0.0343
FCGR1A,0.5925,-0.0666,0.3173,0.5805,0.5219,0.5885,0.2632,0.1793,0.4225,0.703,0.2836,0.0551,0.5834,0.3641,0.3026,0.5562,0.0884,-0.0358,1.0961,0.8194,0.3391,0.7045,0.0271,0.0262,1.1897,0.5169,0.2016,0.1917,0.2568,0.5574,0.5806,0.0123
MUC1,0.1081,-0.2054,0.2378,0.4334,0.4019,1.1303,0.2464,0.1004,0.1416,0.447,-0.0164,-0.0826,-0.3476,-0.194,-0.0136,0.2501,0.1675,-0.4211,-0.2879,0.1076,0.6145,0.5328,-0.1465,-0.2553,0.6794,-0.1705,-0.7519,-0.5313,0.0865,0.6597,0.1762,-0.6293
GJB3,0.0071,-0.0034,0.5217,0.0349,1.7546,0.9382,1.1625,0.0042,1.5481,-0.0133,1.8549,-0.0103,-0.0275,0.2178,-0.0459,-0.0024,0.3387,1.2181,-0.2755,-0.0118,0.7541,1.6233,-0.0133,-0.1458,0.0,0.9257,-0.0776,0.1619,0.9751,0.7383,0.3569,-0.0
RNF43,0.4793,-0.1308,-0.0,0.2554,0.6175,0.1969,0.9271,-0.0102,0.9855,-0.0568,0.2872,0.1104,-0.0946,0.1431,0.095,-0.0631,0.3296,0.3483,-0.0662,-0.1566,0.4207,0.2159,-0.203,0.0723,0.0211,0.3699,0.007,0.2698,0.0899,0.6567,0.3691,-0.0912
SLCO1B3,0.0,0.0,0.4064,0.0,-0.0358,-0.9648,1.2249,-0.0,1.7532,0.0,1.7902,0.0,0.0,0.0,-0.9592,0.0,0.3507,0.8317,0.0,-0.0178,0.1284,0.8141,0.0,0.1387,0.0,0.4463,-0.1152,-0.0131,-0.0,0.0888,0.0,-0.0
