gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
OR2L2,2.6861,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0244,0.0,0.0,0.0,0.0,0.0,-0.0159,0.0,0.0,0.0,0.0,0.0
OR6C68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPRM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0168,0.0,0.0,0.0,0.0,-0.0092,0.0,2.8834,0.0,0.0,0.0243,-0.0,0.0,0.0,0.0,0.0,0.0
OR8B12,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR2M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS1R3,0.0768,0.0426,0.0144,0.0208,-0.0051,-0.0079,-0.0169,-0.0558,0.0438,0.0,0.0081,0.0005,-0.0033,-0.0033,-0.0141,0.0006,0.0809,0.0289,-0.0018,-0.0077,-0.0202,0.0268,0.0041,-0.0009,-0.0142,0.0252,-0.0341,0.0126,-0.0154,-0.0129,-0.0172,-0.0061
GHSR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR4A16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR51J1,0.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4E2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR52A1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR9Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
DSCAM,0.0,0.0979,-0.0229,0.0,-0.0239,0.0116,-0.0,-0.0,0.0,0.1691,0.0637,0.0103,0.0008,0.0,-0.0,0.9746,-0.0118,-0.0167,-0.007,0.0,-0.002,0.0389,-0.0047,0.0,0.0856,0.0,-0.1552,0.0,-0.0,-0.0087,0.0,-0.0196
TYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.009,0.0,0.0,0.0,0.0,3.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2015,0.0,0.0,0.0,0.0,10.3185
OR1D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
GRIN3A,0.0269,-0.0,-0.0019,-0.0003,-0.0011,0.0011,-0.0006,0.0075,0.0,-0.01,-0.0003,0.0,0.0009,0.0,0.0,0.2896,0.0,-0.001,0.0,-0.0006,-0.0,0.0,0.0086,0.1255,0.0175,0.0035,-0.02,-0.0,-0.0,-0.0023,-0.0026,-0.0
PRTG,-0.0152,-0.0187,-0.0418,-0.0292,-0.0418,0.0182,-0.0036,0.0839,-0.0076,0.1249,-0.003,0.0076,-0.0098,-0.0072,-0.0019,0.4013,-0.0405,-0.0353,0.3233,0.0105,-0.049,0.0,0.276,-0.0061,0.0328,0.0053,-0.183,-0.0289,-0.3307,-0.1497,-0.1167,0.241
CCR9,0.4287,-0.0,-0.0,-0.0,-0.0054,-0.0286,-0.0043,-0.0,0.0054,0.0,-0.0,-0.0068,-0.0004,0.2219,-0.0021,0.0006,-0.0039,-0.0,0.0,-0.0023,-0.0,0.0736,-0.0,-0.0,-0.003,0.0127,-0.0,3.2274,0.0,-0.0,-0.0,-0.0
OR10A4,-0.1703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SLC5A2,0.348,0.0172,-0.0102,-0.0054,-0.0431,0.0279,-0.0185,-0.0091,0.0219,-0.0023,-0.0137,-0.0211,-0.2436,-0.2886,-0.0041,-0.0045,-0.0434,-0.0239,-0.0098,-0.0021,0.0521,0.0456,0.0317,-0.0056,0.0915,0.0668,-0.1966,-0.0009,0.1518,-0.0351,0.0468,-0.0
ADAM29,0.0,-0.0,0.0,0.0203,-0.0,0.0,-0.0037,0.291,0.0,-0.0119,0.0,-0.0,0.0,-0.0,0.0,0.0338,-0.0081,-0.0041,0.0,0.0,0.0,0.0,0.0126,-0.0,0.0,0.0,-0.0377,0.0,0.0,-0.0,-0.0,0.0
GPR142,0.0286,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0338,-0.0054,-0.0,-0.0082,0.0,0.0,0.0,0.0,0.0,0.0091,0.0213,0.0,-0.0,-0.0,0.0411,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0198,-0.0,-0.0128,-0.0
KDR,0.0267,-0.1202,-0.2799,-0.2387,-0.4165,0.2094,-0.0607,0.2342,-0.0842,0.337,-0.179,0.007,0.4743,-0.2968,0.208,0.2578,-0.2571,-0.5072,0.0236,0.4108,-0.3015,0.2499,0.1117,-0.2258,0.3115,0.0407,0.0973,-0.2143,-0.2232,-0.6128,-0.5573,-0.2542
RELL1,0.6232,-0.0025,-0.1316,0.0074,-0.1425,0.336,-0.17,-0.1126,0.2167,0.3691,0.0552,0.1194,0.3946,0.2002,0.0334,0.212,-0.1184,-0.0649,0.1341,-0.0616,-0.0862,0.4264,0.1951,-0.0618,0.2446,0.103,0.1706,-0.1504,-0.0782,-0.203,-0.2061,-0.1406
OR4C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS2R10,1.347,-0.0,-0.0,-0.0007,-0.0,-0.0,-0.0,0.0,-0.0034,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0022,-0.0,0.0,-0.001,-0.0019,-0.008,-0.0,-0.0,-0.0,-0.0
OR4C46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC52,0.0,0.0,0.0,0.0111,0.0,0.0,-0.0,0.0,-0.0,0.036,0.0,1.1851,-0.0786,-0.0355,0.0,0.0517,0.0614,-0.002,0.2456,0.0,0.142,0.0,0.0,0.0,-0.0458,-0.0,-0.0564,0.0,0.1448,0.0646,0.1376,0.0321
PRSS41,0.0,0.0,0.0,0.0,0.0,0.0,0.0658,0.0,0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2375,0.0,0.0,0.0,0.2131,-0.2499,0.0,0.0,0.0,0.0,0.0
OR2G3,0.9862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
KLRC3,0.0147,0.0,-0.0387,0.0023,0.0094,0.0,-0.0013,-0.009,0.0623,0.0085,-0.0031,0.0,0.0134,0.0,0.0,0.8824,-0.0313,-0.0183,0.2182,0.0,0.0018,0.0447,0.0,-0.0088,0.0,0.0236,0.102,0.0282,-0.0089,-0.0,-0.0,-0.0
OR2AG2,-0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR1S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR2J3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
LIM2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0249,0.0,0.0,0.1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6409,0.14,0.0,0.0,0.2724,0.0
OR52E5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
ROS1,-0.0144,0.0,0.0,0.0278,0.184,-0.0,-0.0025,0.0,0.8757,0.0377,0.4893,-0.0,-0.061,-0.0,0.0,0.0118,-0.1193,-1.0112,-0.118,0.0689,0.2091,0.6194,0.0,0.0,0.0,0.0407,-0.1067,-0.0085,0.0,0.1016,0.0701,-0.0
OR8D2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
LRTM2,0.2196,0.0,0.0,0.1744,0.0,0.0555,-0.0,0.0,0.0112,-0.4411,-0.0,0.0,0.0,0.0,0.0,-0.4528,-0.015,-0.0011,0.0,0.0,0.1405,0.0,0.0908,0.0033,0.0,-0.0042,-0.0708,0.3817,-0.0033,0.1732,0.1252,0.0
OR10J5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR2L3,1.2616,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR51B2,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRH,0.0075,-0.0,-0.0032,0.0012,-0.0,0.0,-0.0,0.0,0.0,0.0006,-0.0,-0.0,0.0,0.0,-0.0,0.0005,-0.0004,-0.0,-0.0,-0.0,-0.0,0.0,0.0004,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0015,-0.0,-0.0098
PCDHA6,0.0,0.0619,-0.0181,-0.0039,-0.0328,0.3295,-0.0009,0.0,-0.006,-0.1188,-0.0083,-0.0486,0.0415,0.009,0.058,-0.0762,-0.0101,-0.0345,-0.0086,0.0,-0.0251,0.0088,0.3458,0.0192,0.2768,0.0009,-0.0679,-0.0,-0.0115,-0.0678,-0.0677,-0.0433
OR6B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SLC16A5,0.3451,-0.0213,-0.2026,-0.0528,-0.1512,0.2016,0.002,-0.2656,0.2673,0.0713,-0.0269,-0.2209,-0.5302,-0.4916,-0.0438,0.0099,-0.199,-0.3401,-0.1759,0.0651,0.0367,0.5274,-0.0013,-0.3299,-0.0991,0.2037,-0.0714,-0.2296,-0.2712,-0.164,-0.2185,0.0886
OR5AP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIR2DL1,0.0492,0.0,0.0128,-0.0041,0.0379,-0.0166,-0.0037,-0.1058,0.0139,0.0,0.0128,0.0,0.0145,0.0088,-0.0024,0.0,-0.0474,-0.0138,0.0169,0.0,0.0021,0.0,0.0,0.0,0.0,0.0299,0.0148,0.0186,-0.0,-0.0036,-0.0,0.0
CLDN22,-0.0,0.0632,0.0465,0.0,0.3221,-0.1719,0.0,-0.0,0.0,-0.0161,0.0,-0.0797,-0.1022,-0.083,-0.0107,-0.005,0.0,0.0,0.0,0.0,0.8493,0.0,0.0,-0.0059,0.0,-0.0043,0.0,0.0,0.0,1.2949,0.5341,0.0
OR9A4,0.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
IL5RA,0.2294,-0.0,-0.0057,-0.0024,-0.0111,0.0,-0.0029,-0.0544,-0.0043,-0.0111,-0.0069,-0.0,0.0,0.0006,-0.0,-0.0042,-0.0622,-0.0543,-0.0018,-0.0101,-0.0174,0.0256,0.012,0.0412,0.0056,-0.0031,-0.0226,-0.0085,-0.0008,-0.0078,-0.0214,-0.0
HCRTR1,0.0996,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0049,-0.0,0.0,-0.0057,-0.0,-0.0,-0.0041,-0.0,-0.0,0.0017,0.364,-0.0,-0.056,0.0,-0.0,-0.0106,-0.0,-0.0,-0.0,-0.0
OR51I2,-0.0164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SSTR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0205,-0.0,-0.0315,0.0,0.0,-0.0091,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR4K15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4D10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4798,0.0,0.0,0.0
OR52J3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLRN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
BTN1A1,0.0,0.0,-0.0135,-0.0024,-0.0033,0.0,0.0503,-0.0232,0.025,0.0082,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0211,-0.0,-0.0,0.0,0.0,-0.0011,0.0085,0.0814,-0.0,0.0,-0.0,-0.0,0.027,-0.0
FPR2,0.0258,-0.0224,-0.0222,-0.0156,0.0027,-0.0061,0.035,-0.4031,0.0688,0.2726,0.0331,-0.0044,0.1006,-0.0051,-0.0088,0.0046,-0.3,-0.2881,0.0399,0.084,-0.015,0.228,-0.0116,-0.0054,0.107,0.1032,-0.0519,-0.0048,-0.0144,-0.0059,-0.003,-0.0
HTR6,0.0,0.0,-0.007,-0.0035,-0.0057,0.0,-0.0,-0.0348,0.01,-0.0176,-0.0,0.0,1.0893,0.0,0.0,-0.0238,0.0,0.0034,-0.0098,-0.0,0.0438,0.0,0.1297,-0.0,0.0795,0.0,-0.0246,-0.0,0.0,0.0,0.2082,-0.0
OR2B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
MSLNL,0.0,0.0,0.0,0.0158,0.3267,0.0,0.0,0.0,0.0622,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1337,-0.0389,0.0,1.8095,1.1169,0.2692,0.0,-0.0,0.0,-0.0302,-0.0,0.0,0.0,0.0703,0.0,0.0
SLCO2B1,-0.1028,-0.5454,-0.3117,-0.084,-0.2886,-0.5387,-0.127,0.3075,-0.0703,0.3357,-0.194,-0.0215,0.4313,0.1924,-0.1453,0.3058,-0.2374,-0.4148,0.1963,0.0781,-0.165,0.2403,-0.3529,-0.2045,0.5756,0.3706,0.1035,-0.1018,-0.1857,-0.382,-0.3192,-0.3243
TSHR,0.8826,-0.0495,-0.0016,-0.0113,-0.0084,-0.0238,-0.0025,0.0015,0.0037,0.0751,-0.0069,-0.0,0.066,-0.002,-0.0018,0.4938,0.0139,0.014,-0.0113,-0.0149,-0.0392,0.0018,-0.025,-0.0028,0.0427,0.0058,-0.0046,1.3287,-0.0025,-0.0426,0.0165,-0.0
OR6M1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR52W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR6S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR10G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR7G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR9A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR4D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4N4,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0621,0.0,0.0,0.0,0.0,0.0
OR51F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR2L5,3.1055,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
EQTN,0.0039,0.0,-0.0,-0.0018,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0035,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0172,-0.0,-0.0,-0.0023,-0.0,-0.0
SLC37A3,-0.2681,0.0138,-0.1089,-0.057,-0.2565,0.247,0.0194,-0.342,0.0284,0.1831,-0.1248,0.1673,0.1419,0.2132,-0.0591,0.1424,-0.0196,-0.0602,0.0578,-0.0465,-0.2067,0.1435,0.004,-0.0164,0.3656,0.0805,0.2178,-0.1371,-0.1145,-0.3227,-0.3288,-0.2713
OR3A2,0.0,0.0,0.0,-0.0152,-0.1367,0.0,0.0,0.0,0.0,-0.0011,0.0,0.0,0.0338,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0,-0.1279,0.0,0.0,0.0,0.0,0.0,-0.3767,0.3192,0.0,0.0,0.0,0.0
OR5A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0139,0.0,0.0,0.0
SIGLEC5,-0.0807,-0.0,-0.2037,0.0,0.0,0.0,0.0109,0.3492,0.0,0.1854,0.0,0.0,0.0,0.0,0.0,0.0,-0.0468,-0.0412,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPSR1,0.0,0.0,0.0,0.0,0.0,0.0,1.5513,0.0,0.95,0.0968,0.2207,0.0,0.0,0.0,0.0,0.0157,0.11,0.4577,0.0,0.0,0.0,2.8011,0.0,0.0,0.0,2.8414,-0.069,0.0,0.0,0.0,0.0,0.0
RXFP2,1.8795,-0.0,0.0,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0317,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
OR52N1,0.3771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR10D4P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SLC22A25,0.0,0.0,0.0,-0.0045,-0.0,-0.1692,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8864,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR7C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR2W6P,-0.0178,0.0,0.0,0.008,0.0195,0.0,0.0,-0.0,0.1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0,0.0,0.0,0.0,0.0558,0.0193,0.0,0.0,0.0323,0.0,0.0
OR4N5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR7A10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP10,-0.0994,0.0,-0.0056,-0.0003,-0.0043,0.1472,0.0004,-0.0,0.0,0.0,0.0869,0.0,0.0026,0.0,0.1642,0.0,-0.0078,-0.0492,-0.0085,0.0053,-0.0,0.2319,0.4601,-0.0034,0.0264,-0.0057,-0.1461,-0.0,0.0,-0.0458,-0.0,-0.0
JAG2,-0.095,0.0951,-0.0845,-0.1819,0.0843,0.6729,0.1444,0.1183,0.0493,-0.2637,0.2424,-0.0113,0.314,-0.0341,0.2189,-0.2121,-0.0724,0.129,-0.4224,-0.0718,-0.0353,0.1369,0.3769,-0.2609,-0.0725,0.0994,0.0788,0.3546,-0.09,-0.0647,-0.0468,0.0363
OR2L8,0.3849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR10Z1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
