gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
SLC29A3,ENSG00000198246,2.74,1.723,1.02,7822,0.988,0.011,0.352941176173999,282
PTPRJ,ENSG00000149177,2.83,1.804,1.03,7830,0.964,0.011,0.352941176173999,283
CD37,ENSG00000104894,3.995,3.036,0.96,7822,0.989,0.011,0.352941176173999,284
SLC52A1,ENSG00000132517,-1.51,-3.458,1.95,3048,0.3,0.011,0.352941176173999,285
SLC37A1,ENSG00000160190,3.45,2.428,1.02,7831,0.985,0.011,0.352941176173999,286
ENPP5,ENSG00000112796,2.454,1.233,1.22,7489,0.799,0.011,0.352941176173999,287
IFNLR1,ENSG00000185436,1.043,-0.088,1.13,6359,0.758,0.011,0.352941176173999,288
CD53,ENSG00000143119,4.581,3.603,0.98,7727,0.994,0.011,0.352941176173999,289
CD8A,ENSG00000153563,1.71,0.576,1.13,7119,0.789,0.011,0.352941176173999,290
NIPAL1,ENSG00000163293,0.486,-1.056,1.54,6314,0.589,0.011,0.352941176173999,291
ERMP1,ENSG00000099219,3.574,2.578,1.0,7809,0.997,0.011,0.352941176173999,292
TM4SF1,ENSG00000169908,6.601,5.648,0.95,7708,0.999,0.011,0.352941176173999,293
ABCC4,ENSG00000125257,2.022,0.912,1.11,7745,0.877,0.011,0.352941176173999,294
SLC16A1,ENSG00000155380,4.134,3.143,0.99,7812,0.977,0.011,0.352941176173999,295
NOX4,ENSG00000086991,1.293,0.044,1.25,6752,0.742,0.011,0.352941176173999,296
FCRL5,ENSG00000143297,-1.831,-3.816,1.98,2990,0.304,0.011,0.352941176173999,297
FAP,ENSG00000078098,2.568,1.423,1.15,7338,0.847,0.011,0.352941176173999,298
BAMBI,ENSG00000095739,3.147,2.067,1.08,7718,0.89,0.011,0.352941176173999,299
IL12RB1,ENSG00000096996,0.402,-1.086,1.49,6571,0.601,0.011,0.352941176173999,300
EDAR,ENSG00000135960,-3.109,-5.574,2.46,1811,0.185,0.011,0.352941176173999,301
TSPAN15,ENSG00000099282,4.983,3.983,1.0,7793,0.999,0.011,0.352941176173999,302
DLL3,ENSG00000090932,-2.727,-5.012,2.28,2323,0.225,0.011,0.352941176173999,303
CHRNA9,ENSG00000174343,-5.574,-9.966,4.39,891,0.073,0.011,0.352941176173999,304
FZD5,ENSG00000163251,1.82,0.688,1.13,7599,0.844,0.011,0.352941176173999,305
SLC39A8,ENSG00000138821,3.315,2.359,0.96,7831,0.988,0.011,0.352941176173999,306
EVI2B,ENSG00000185862,2.854,1.816,1.04,7824,0.93,0.011,0.352941176173999,307
GPR19,ENSG00000183150,-0.619,-2.635,2.02,4625,0.383,0.011,0.352941176173999,308
ITGB7,ENSG00000139626,1.945,0.783,1.16,7730,0.84,0.011,0.352941176173999,309
ITGB8,ENSG00000105855,2.454,1.34,1.11,6990,0.813,0.011,0.352941176173999,310
CPD,ENSG00000108582,3.961,3.009,0.95,7835,0.998,0.011,0.352941176173999,311
GJB5,ENSG00000189280,-0.86,-2.466,1.61,4674,0.418,0.01,0.3445378148365229,312
SLC28A3,ENSG00000197506,-1.47,-3.171,1.7,3655,0.365,0.01,0.3445378148365229,313
CCRL2,ENSG00000121797,1.043,-0.072,1.12,7417,0.759,0.01,0.3445378148365229,314
SIGLEC10,ENSG00000142512,1.374,0.312,1.06,7269,0.768,0.01,0.3445378148365229,315
IL17RB,ENSG00000056736,2.067,1.05,1.02,7724,0.825,0.01,0.3445378148365229,316
TM9SF2,ENSG00000125304,6.239,5.34,0.9,7835,1.0,0.01,0.3445378148365229,317
SLC1A4,ENSG00000115902,3.665,2.795,0.87,7825,0.996,0.01,0.3445378148365229,318
TNFRSF17,ENSG00000048462,-1.47,-3.171,1.7,3417,0.34,0.01,0.3445378148365229,319
GPRC5C,ENSG00000170412,5.506,4.595,0.91,7799,0.992,0.01,0.3445378148365229,320
EMB,ENSG00000170571,2.828,1.824,1.0,7692,0.888,0.01,0.3445378148365229,321
MS4A6A,ENSG00000110077,5.037,4.188,0.85,7685,0.996,0.01,0.3445378148365229,322
CTLA4,ENSG00000163599,-0.472,-2.114,1.64,5097,0.414,0.01,0.3445378148365229,323
UNC93B1,ENSG00000110057,4.675,3.802,0.87,7835,1.0,0.01,0.3445378148365229,324
IL20RA,ENSG00000016402,1.6,0.412,1.19,6641,0.657,0.01,0.3445378148365229,325
GABRP,ENSG00000094755,-1.086,-2.635,1.55,4077,0.415,0.01,0.3445378148365229,326
SLC39A9,ENSG00000029364,4.707,3.793,0.91,7835,1.0,0.01,0.3445378148365229,327
EPHA1,ENSG00000146904,3.23,2.192,1.04,7748,0.885,0.01,0.3445378148365229,328
SECTM1,ENSG00000141574,3.57,2.672,0.9,7758,0.939,0.01,0.3445378148365229,329
TMEM158,ENSG00000249992,1.793,0.697,1.1,7504,0.752,0.01,0.3445378148365229,330
SORL1,ENSG00000137642,3.42,2.526,0.89,7586,0.953,0.01,0.3445378148365229,331
NFAM1,ENSG00000235568,0.67,-0.533,1.2,7039,0.673,0.01,0.3445378148365229,332
TNFRSF10A,ENSG00000104689,2.146,1.118,1.03,7752,0.862,0.01,0.3445378148365229,333
GPR158,ENSG00000151025,-2.178,-3.816,1.64,2745,0.307,0.01,0.3445378148365229,334
LRRC37A2,ENSG00000260075,-5.012,-9.966,4.95,3012,0.115,0.01,0.3445378148365229,335
CLDN16,ENSG00000113946,-2.178,-4.293,2.12,2847,0.248,0.01,0.3445378148365229,336
SIGLEC15,ENSG00000197046,-1.639,-3.458,1.82,2912,0.259,0.009,0.3361344534990467,337
MR1,ENSG00000153029,3.409,2.611,0.8,7831,0.99,0.009,0.3361344534990467,338
CLEC5A,ENSG00000258227,0.152,-1.086,1.24,5888,0.535,0.009,0.3361344534990467,339
ACP2,ENSG00000134575,5.028,4.233,0.8,7835,1.0,0.009,0.3361344534990467,340
LPAR2,ENSG00000064547,3.903,3.05,0.85,7828,0.981,0.009,0.3361344534990467,341
SLC38A1,ENSG00000111371,4.54,3.734,0.81,7832,0.97,0.009,0.3361344534990467,342
CDH11,ENSG00000140937,3.76,2.868,0.89,7430,0.899,0.009,0.3361344534990467,343
SLC33A1,ENSG00000169359,3.91,3.134,0.78,7828,0.999,0.009,0.3361344534990467,344
TLR3,ENSG00000164342,1.34,0.323,1.02,7114,0.783,0.009,0.3361344534990467,345
IFNGR2,ENSG00000159128,6.142,5.386,0.76,7835,1.0,0.009,0.3361344534990467,346
SCNN1G,ENSG00000166828,-1.47,-2.932,1.46,3716,0.378,0.009,0.3361344534990467,347
FASLG,ENSG00000117560,-1.685,-3.816,2.13,2483,0.209,0.009,0.3361344534990467,348
ZACN,ENSG00000186919,3.257,2.351,0.91,6386,0.808,0.009,0.3361344534990467,349
P2RX4,ENSG00000135124,4.496,3.672,0.82,7835,1.0,0.009,0.3361344534990467,350
RTN4RL2,ENSG00000186907,1.568,0.605,0.96,7576,0.786,0.009,0.3361344534990467,351
ITGA6,ENSG00000091409,4.673,3.91,0.76,7767,0.995,0.009,0.3361344534990467,352
BCAM,ENSG00000187244,6.371,5.567,0.8,7801,1.0,0.009,0.3361344534990467,353
CD101,ENSG00000134256,0.857,-0.15,1.01,7093,0.745,0.009,0.3361344534990467,354
SVOPL,ENSG00000157703,-1.51,-3.308,1.8,3437,0.305,0.009,0.3361344534990467,355
P2RY13,ENSG00000181631,0.19,-1.149,1.34,6123,0.545,0.009,0.3361344534990467,356
FAM171A2,ENSG00000161682,0.557,-0.664,1.22,6515,0.603,0.009,0.3361344534990467,357
LRRC25,ENSG00000175489,1.465,0.567,0.9,7385,0.84,0.009,0.3361344534990467,358
BACE2,ENSG00000182240,5.183,4.351,0.83,7795,0.992,0.009,0.3361344534990467,359
NCMAP,ENSG00000184454,-1.43,-3.171,1.74,3447,0.309,0.009,0.3361344534990467,360
CD80,ENSG00000121594,-1.214,-3.308,2.09,3222,0.25,0.009,0.3361344534990467,361
FAT1,ENSG00000083857,5.601,4.775,0.83,7539,0.994,0.009,0.3361344534990467,362
TMEM150B,ENSG00000180061,0.276,-1.056,1.33,6054,0.553,0.009,0.3361344534990467,363
LAIR1,ENSG00000167613,3.418,2.571,0.85,7580,0.974,0.009,0.3361344534990467,364
TMEM154,ENSG00000170006,0.264,-1.026,1.29,6364,0.545,0.009,0.3361344534990467,365
BTN3A2,ENSG00000186470,4.251,3.444,0.81,7853,0.999,0.009,0.3361344534990467,366
FAM174B,ENSG00000185442,3.523,2.703,0.82,7805,0.991,0.009,0.3361344534990467,367
EPHA2,ENSG00000142627,3.672,2.884,0.79,7527,0.96,0.009,0.3361344534990467,368
ATP1A1,ENSG00000163399,8.109,7.353,0.76,7835,1.0,0.009,0.3361344534990467,369
PTPRK,ENSG00000152894,4.092,3.309,0.78,7548,0.989,0.009,0.3361344534990467,370
SLC37A2,ENSG00000134955,2.144,1.246,0.9,7779,0.889,0.009,0.3361344534990467,371
SLAMF6,ENSG00000162739,0.001,-1.318,1.32,5524,0.501,0.009,0.3361344534990467,372
SLC41A2,ENSG00000136052,2.404,1.604,0.8,7412,0.924,0.009,0.3361344534990467,373
DSC3,ENSG00000134762,-1.831,-3.308,1.48,3538,0.377,0.009,0.3361344534990467,374
CCR4,ENSG00000183813,-1.639,-3.626,1.99,2991,0.24,0.009,0.3361344534990467,375
CD300C,ENSG00000167850,0.03,-1.181,1.21,6035,0.512,0.008,0.32773109216157054,376
PCDH1,ENSG00000156453,4.216,3.544,0.67,7613,0.976,0.008,0.32773109216157054,377
SLC37A4,ENSG00000137700,4.205,3.51,0.69,7833,1.0,0.008,0.32773109216157054,378
GABRQ,ENSG00000268089,-3.626,-5.574,1.95,2258,0.192,0.008,0.32773109216157054,379
SIGLEC7,ENSG00000168995,0.423,-0.687,1.11,6421,0.608,0.008,0.32773109216157054,380
SLC13A2,ENSG00000007216,-4.608,-6.506,1.9,1365,0.157,0.008,0.32773109216157054,381
FREM2,ENSG00000150893,-1.685,-3.171,1.49,3451,0.297,0.008,0.32773109216157054,382
ZDHHC5,ENSG00000156599,5.2,4.46,0.74,7835,1.0,0.008,0.32773109216157054,383
TMED7,ENSG00000134970,5.064,4.377,0.69,7834,1.0,0.008,0.32773109216157054,384
MMEL1,ENSG00000142606,1.177,0.165,1.01,6644,0.643,0.008,0.32773109216157054,385
IFNAR2,ENSG00000159110,3.937,3.225,0.71,7835,0.999,0.008,0.32773109216157054,386
FOLR2,ENSG00000165457,3.36,2.635,0.73,7527,0.967,0.008,0.32773109216157054,387
CLSTN1,ENSG00000171603,6.576,5.876,0.7,7835,1.0,0.008,0.32773109216157054,388
TMEM87B,ENSG00000153214,3.489,2.81,0.68,7831,0.994,0.008,0.32773109216157054,389
EVI2A,ENSG00000126860,2.446,1.66,0.79,7734,0.904,0.008,0.32773109216157054,390
MICB,ENSG00000204516,1.401,0.476,0.92,7727,0.787,0.008,0.32773109216157054,391
NCSTN,ENSG00000162736,6.361,5.692,0.67,7835,1.0,0.008,0.32773109216157054,392
PTPRC,ENSG00000081237,2.734,2.004,0.73,7638,0.906,0.008,0.32773109216157054,393
UPK2,ENSG00000110375,-1.781,-3.626,1.85,3065,0.236,0.008,0.32773109216157054,394
PRND,ENSG00000171864,-3.458,-5.574,2.12,1017,0.122,0.008,0.32773109216157054,395
SLC30A1,ENSG00000170385,3.332,2.616,0.72,7817,0.995,0.008,0.32773109216157054,396
F2RL2,ENSG00000164220,-0.687,-1.994,1.31,5016,0.41,0.008,0.32773109216157054,397
ATRN,ENSG00000088812,3.828,3.118,0.71,7824,0.998,0.008,0.32773109216157054,398
LRP11,ENSG00000120256,4.28,3.623,0.66,7558,0.995,0.008,0.32773109216157054,399
FLVCR1,ENSG00000162769,2.111,1.351,0.76,7802,0.973,0.008,0.32773109216157054,400
SLC6A11,ENSG00000132164,-3.171,-4.608,1.44,2986,0.321,0.008,0.32773109216157054,401
PIGT,ENSG00000124155,6.52,5.783,0.74,7835,1.0,0.008,0.32773109216157054,402
P2RY10,ENSG00000078589,-0.86,-2.388,1.53,4401,0.363,0.008,0.32773109216157054,403
IFNAR1,ENSG00000142166,3.999,3.326,0.67,7835,1.0,0.008,0.32773109216157054,404
CADM4,ENSG00000105767,3.779,3.048,0.73,7811,0.973,0.008,0.32773109216157054,405
ITGA3,ENSG00000005884,5.631,4.92,0.71,7807,0.992,0.008,0.32773109216157054,406
CD44,ENSG00000026508,6.898,6.203,0.7,7835,0.999,0.008,0.32773109216157054,407
GRIN2D,ENSG00000105464,-0.492,-1.884,1.39,5672,0.427,0.008,0.32773109216157054,408
LRP8,ENSG00000157193,1.828,0.927,0.9,7641,0.801,0.008,0.32773109216157054,409
PIGO,ENSG00000165282,4.102,3.432,0.67,7833,1.0,0.008,0.32773109216157054,410
ADAM28,ENSG00000042980,1.975,1.092,0.88,7499,0.833,0.008,0.32773109216157054,411
LY9,ENSG00000122224,-0.357,-1.639,1.28,5218,0.436,0.008,0.32773109216157054,412
SLC7A1,ENSG00000139514,3.457,2.766,0.69,7826,0.968,0.008,0.32773109216157054,413
RHBDF2,ENSG00000129667,4.288,3.566,0.72,7835,0.998,0.008,0.32773109216157054,414
IGFLR1,ENSG00000126246,3.521,2.799,0.72,7835,0.999,0.008,0.32773109216157054,415
SLC18A1,ENSG00000036565,-5.012,-9.966,4.95,908,0.051,0.008,0.32773109216157054,416
CDH7,ENSG00000081138,-6.506,-9.966,3.46,1689,0.089,0.008,0.32773109216157054,417
TNFRSF19,ENSG00000127863,1.956,1.057,0.9,7365,0.796,0.008,0.32773109216157054,418
MPZL1,ENSG00000197965,6.018,5.292,0.73,7835,1.0,0.008,0.32773109216157054,419
MMP14,ENSG00000157227,6.399,5.726,0.67,7820,0.999,0.008,0.32773109216157054,420
SEMA4A,ENSG00000196189,3.54,2.751,0.79,7834,0.949,0.008,0.32773109216157054,421
DPEP1,ENSG00000015413,-0.533,-1.884,1.35,5281,0.412,0.008,0.32773109216157054,422
OR2B6,ENSG00000124657,-4.035,-9.966,5.93,1137,0.048,0.008,0.32773109216157054,423
TNFRSF10C,ENSG00000173535,0.912,-0.042,0.95,7531,0.699,0.008,0.32773109216157054,424
SUCNR1,ENSG00000198829,-1.283,-3.171,1.89,3545,0.267,0.008,0.32773109216157054,425
ADAM8,ENSG00000151651,2.446,1.656,0.79,7832,0.927,0.008,0.32773109216157054,426
FZD6,ENSG00000164930,3.642,2.905,0.74,7555,0.966,0.008,0.32773109216157054,427
ITM2C,ENSG00000135916,6.274,5.569,0.7,7835,1.0,0.008,0.32773109216157054,428
CHRNB4,ENSG00000117971,-2.548,-4.608,2.06,1992,0.165,0.008,0.32773109216157054,429
GPC4,ENSG00000076716,3.089,2.362,0.73,7415,0.889,0.008,0.32773109216157054,430
GPR37,ENSG00000170775,0.016,-1.214,1.23,5500,0.503,0.008,0.32773109216157054,431
PSEN1,ENSG00000080815,4.881,4.213,0.67,7835,1.0,0.008,0.32773109216157054,432
SMO,ENSG00000128602,3.291,2.541,0.75,7472,0.938,0.008,0.32773109216157054,433
C11orf24,ENSG00000171067,4.789,4.213,0.58,7834,1.0,0.007,0.3193277308240944,434
TCTN2,ENSG00000168778,3.052,2.462,0.59,7710,0.977,0.007,0.3193277308240944,435
SUCO,ENSG00000094975,3.592,2.936,0.66,7827,0.998,0.007,0.3193277308240944,436
TMEM179B,ENSG00000185475,6.135,5.503,0.63,7835,1.0,0.007,0.3193277308240944,437
DAG1,ENSG00000173402,5.156,4.551,0.6,7818,1.0,0.007,0.3193277308240944,438
LAG3,ENSG00000089692,0.979,0.152,0.83,7113,0.716,0.007,0.3193277308240944,439
ADAM9,ENSG00000168615,5.154,4.542,0.61,7835,0.995,0.007,0.3193277308240944,440
CX3CR1,ENSG00000168329,-0.028,-1.214,1.19,6202,0.497,0.007,0.3193277308240944,441
ITGAV,ENSG00000138448,4.69,4.087,0.6,7761,0.997,0.007,0.3193277308240944,442
ATRAID,ENSG00000138085,7.192,6.612,0.58,7835,1.0,0.007,0.3193277308240944,443
IL10RB,ENSG00000243646,4.675,4.029,0.65,7835,1.0,0.007,0.3193277308240944,444
CD63,ENSG00000135404,9.967,9.366,0.6,7835,1.0,0.007,0.3193277308240944,445
SUSD1,ENSG00000106868,2.549,1.896,0.65,7831,0.977,0.007,0.3193277308240944,446
ITGB1,ENSG00000150093,7.403,6.762,0.64,7835,1.0,0.007,0.3193277308240944,447
IL1RL2,ENSG00000115598,-0.233,-1.392,1.16,5965,0.457,0.007,0.3193277308240944,448
TM9SF1,ENSG00000100926,5.057,4.393,0.66,7834,1.0,0.007,0.3193277308240944,449
GPR132,ENSG00000183484,0.633,-0.338,0.97,7281,0.65,0.007,0.3193277308240944,450
GABRG3,ENSG00000182256,-4.608,-6.506,1.9,2306,0.167,0.007,0.3193277308240944,451
ATP13A2,ENSG00000159363,4.824,4.176,0.65,7835,1.0,0.007,0.3193277308240944,452
TGFBR1,ENSG00000106799,3.588,3.011,0.58,7835,0.998,0.007,0.3193277308240944,453
MUC13,ENSG00000173702,-2.932,-4.035,1.1,2256,0.295,0.007,0.3193277308240944,454
BSG,ENSG00000172270,9.099,8.471,0.63,7835,1.0,0.007,0.3193277308240944,455
PRSS21,ENSG00000007038,-1.248,-2.388,1.14,4574,0.394,0.007,0.3193277308240944,456
CLDN12,ENSG00000157224,4.101,3.53,0.57,7607,0.997,0.007,0.3193277308240944,457
LRP5,ENSG00000162337,4.902,4.311,0.59,7683,0.998,0.007,0.3193277308240944,458
TM7SF3,ENSG00000064115,5.503,4.87,0.63,7835,1.0,0.007,0.3193277308240944,459
PLXNC1,ENSG00000136040,1.997,1.311,0.69,7820,0.879,0.007,0.3193277308240944,460
HRH1,ENSG00000196639,1.64,0.927,0.71,6897,0.804,0.007,0.3193277308240944,461
CD164,ENSG00000135535,7.014,6.411,0.6,7835,1.0,0.007,0.3193277308240944,462
ICOSLG,ENSG00000160223,1.444,0.766,0.68,7697,0.877,0.007,0.3193277308240944,463
NKAIN1,ENSG00000084628,-1.552,-2.932,1.38,4110,0.337,0.007,0.3193277308240944,464
PTPRH,ENSG00000080031,-0.166,-1.318,1.15,5975,0.481,0.007,0.3193277308240944,465
PANX1,ENSG00000110218,3.067,2.468,0.6,7819,0.996,0.007,0.3193277308240944,466
STT3B,ENSG00000163527,5.604,5.029,0.58,7835,1.0,0.007,0.3193277308240944,467
CLDN10,ENSG00000134873,-0.02,-1.026,1.01,5717,0.5,0.007,0.3193277308240944,468
CLN3,ENSG00000188603,5.407,4.806,0.6,7835,1.0,0.007,0.3193277308240944,469
KISS1R,ENSG00000116014,-2.932,-5.012,2.08,2230,0.158,0.007,0.3193277308240944,470
TSPAN17,ENSG00000048140,4.532,3.921,0.61,7835,1.0,0.007,0.3193277308240944,471
EPHB4,ENSG00000196411,4.788,4.14,0.65,7827,0.999,0.007,0.3193277308240944,472
ANO1,ENSG00000131620,3.448,2.791,0.66,7238,0.889,0.007,0.3193277308240944,473
GPR137B,ENSG00000077585,3.95,3.342,0.61,7830,0.992,0.007,0.3193277308240944,474
GPR84,ENSG00000139572,-0.357,-1.595,1.24,5859,0.422,0.007,0.3193277308240944,475
ACVR1,ENSG00000115170,4.099,3.517,0.58,7797,0.998,0.007,0.3193277308240944,476
LPAR3,ENSG00000171517,-1.639,-2.826,1.19,3934,0.395,0.007,0.3193277308240944,477
ADAM17,ENSG00000151694,3.284,2.676,0.61,7828,0.965,0.007,0.3193277308240944,478
PCDHA11,ENSG00000249158,-2.297,-3.816,1.52,3052,0.265,0.007,0.3193277308240944,479
C3orf80,ENSG00000180044,-0.413,-1.732,1.32,5462,0.415,0.007,0.3193277308240944,480
LRRN4,ENSG00000125872,-3.626,-5.012,1.39,1455,0.18,0.007,0.3193277308240944,481
SLC2A10,ENSG00000197496,2.905,2.227,0.68,7409,0.918,0.007,0.3193277308240944,482
TSPAN3,ENSG00000140391,7.392,6.788,0.6,7835,1.0,0.007,0.3193277308240944,483
UBAC2,ENSG00000134882,5.807,5.175,0.63,7835,1.0,0.007,0.3193277308240944,484
LILRB2,ENSG00000131042,1.534,0.766,0.77,7363,0.829,0.007,0.3193277308240944,485
IL1RAP,ENSG00000196083,2.167,1.46,0.71,7824,0.917,0.007,0.3193277308240944,486
PCDH17,ENSG00000118946,0.567,-0.32,0.89,6647,0.624,0.007,0.3193277308240944,487
CNNM4,ENSG00000158158,2.806,2.183,0.62,7812,0.983,0.007,0.3193277308240944,488
SEMA4B,ENSG00000185033,5.244,4.657,0.59,7862,1.0,0.007,0.3193277308240944,489
APP,ENSG00000142192,8.364,7.708,0.66,7835,1.0,0.007,0.3193277308240944,490
NRCAM,ENSG00000091129,1.712,0.934,0.78,7252,0.721,0.007,0.3193277308240944,491
CXCR5,ENSG00000160683,1.692,1.071,0.62,7319,0.866,0.006,0.31092436948661817,492
SLC38A8,ENSG00000166558,-5.012,-9.966,4.95,2106,0.056,0.006,0.31092436948661817,493
IGSF8,ENSG00000162729,5.267,4.74,0.53,7835,1.0,0.006,0.31092436948661817,494
LMAN2L,ENSG00000114988,4.005,3.498,0.51,7833,1.0,0.006,0.31092436948661817,495
TSPAN14,ENSG00000108219,5.536,5.043,0.49,7835,1.0,0.006,0.31092436948661817,496
CD151,ENSG00000177697,7.881,7.391,0.49,7835,1.0,0.006,0.31092436948661817,497
NIPAL3,ENSG00000001461,3.473,2.928,0.54,7832,0.991,0.006,0.31092436948661817,498
SLC3A2,ENSG00000168003,7.014,6.461,0.55,7835,1.0,0.006,0.31092436948661817,499
PMEL,ENSG00000185664,0.661,-0.028,0.69,7008,0.718,0.006,0.31092436948661817,500
SLC44A1,ENSG00000070214,4.192,3.628,0.56,7828,0.998,0.006,0.31092436948661817,501
TMEM63C,ENSG00000165548,-0.134,-1.056,0.92,5393,0.485,0.006,0.31092436948661817,502
SLITRK6,ENSG00000184564,-1.552,-2.635,1.08,4039,0.362,0.006,0.31092436948661817,503
CD1C,ENSG00000158481,-0.338,-1.318,0.98,4935,0.442,0.006,0.31092436948661817,504
ADORA2B,ENSG00000170425,1.078,0.312,0.77,7346,0.68,0.006,0.31092436948661817,505
CD320,ENSG00000167775,5.353,4.818,0.54,7834,1.0,0.006,0.31092436948661817,506
SLC39A10,ENSG00000196950,3.215,2.698,0.52,7808,0.979,0.006,0.31092436948661817,507
SLC17A5,ENSG00000119899,3.25,2.742,0.51,7832,0.992,0.006,0.31092436948661817,508
CSF1R,ENSG00000182578,3.701,3.126,0.57,7776,0.983,0.006,0.31092436948661817,509
HCAR2,ENSG00000182782,-0.32,-1.318,1.0,5427,0.457,0.006,0.31092436948661817,510
GRM8,ENSG00000179603,-1.355,-2.727,1.37,4082,0.275,0.006,0.31092436948661817,511
UPK1B,ENSG00000114638,-4.035,-5.012,0.98,2346,0.275,0.006,0.31092436948661817,512
PKD2L1,ENSG00000107593,-1.884,-4.293,2.41,3005,0.144,0.006,0.31092436948661817,513
DISP2,ENSG00000140323,0.023,-0.969,0.99,6084,0.505,0.006,0.31092436948661817,514
IL7R,ENSG00000168685,1.656,0.912,0.74,7102,0.734,0.006,0.31092436948661817,515
NTM,ENSG00000182667,1.786,1.118,0.67,7102,0.744,0.006,0.31092436948661817,516
PCDHB9,ENSG00000177839,0.276,-0.576,0.85,6854,0.556,0.006,0.31092436948661817,517
SCARB1,ENSG00000073060,5.105,4.553,0.55,7834,1.0,0.006,0.31092436948661817,518
SLC43A2,ENSG00000167703,3.854,3.284,0.57,7835,0.996,0.006,0.31092436948661817,519
CD28,ENSG00000178562,-0.969,-2.315,1.35,4612,0.299,0.006,0.31092436948661817,520
CALCRL,ENSG00000064989,2.576,2.054,0.52,7654,0.924,0.006,0.31092436948661817,521
PTTG1IP,ENSG00000183255,7.12,6.583,0.54,7835,1.0,0.006,0.31092436948661817,522
TLR1,ENSG00000174125,1.357,0.642,0.71,7666,0.789,0.006,0.31092436948661817,523
SLCO4C1,ENSG00000173930,-3.047,-4.293,1.25,2495,0.247,0.006,0.31092436948661817,524
ITGA4,ENSG00000115232,0.972,0.252,0.72,7453,0.688,0.006,0.31092436948661817,525
ABCC3,ENSG00000108846,3.455,2.866,0.59,7658,0.898,0.006,0.31092436948661817,526
SLC9A1,ENSG00000090020,4.391,3.874,0.52,7835,0.998,0.006,0.31092436948661817,527
TMEM26,ENSG00000196932,-1.181,-2.727,1.55,4048,0.266,0.006,0.31092436948661817,528
GPR171,ENSG00000174946,-0.302,-1.248,0.95,5582,0.453,0.006,0.31092436948661817,529
GPR141,ENSG00000187037,-1.086,-2.466,1.38,4495,0.288,0.006,0.31092436948661817,530
SLC35A5,ENSG00000138459,4.202,3.701,0.5,7832,0.999,0.006,0.31092436948661817,531
TM9SF3,ENSG00000077147,5.461,4.969,0.49,7835,1.0,0.006,0.31092436948661817,532
TNFSF4,ENSG00000117586,0.152,-0.735,0.89,7244,0.543,0.006,0.31092436948661817,533
ATP13A3,ENSG00000133657,4.863,4.354,0.51,7835,0.999,0.006,0.31092436948661817,534
SCARB2,ENSG00000138760,6.02,5.502,0.52,7835,1.0,0.006,0.31092436948661817,535
SLC29A2,ENSG00000174669,2.66,2.091,0.57,7746,0.864,0.006,0.31092436948661817,536
LYPD5,ENSG00000159871,0.873,0.203,0.67,6959,0.708,0.006,0.31092436948661817,537
SIGLEC14,ENSG00000254415,0.085,-0.834,0.92,6311,0.518,0.006,0.31092436948661817,538
VSIG1,ENSG00000101842,-1.831,-3.458,1.63,3338,0.224,0.006,0.31092436948661817,539
TMC7,ENSG00000170537,0.288,-0.597,0.89,7138,0.573,0.006,0.31092436948661817,540
OR7A5,ENSG00000188269,-5.574,-9.966,4.39,2348,0.065,0.006,0.31092436948661817,541
TMPRSS11E,ENSG00000087128,-4.035,-5.012,0.98,1817,0.25,0.006,0.31092436948661817,542
TM9SF4,ENSG00000101337,5.17,4.663,0.51,7837,1.0,0.006,0.31092436948661817,543
TMEM63B,ENSG00000137216,4.712,4.182,0.53,7835,1.0,0.006,0.31092436948661817,544
GPR34,ENSG00000171659,1.444,0.758,0.69,7174,0.794,0.006,0.31092436948661817,545
CDHR2,ENSG00000074276,-1.884,-3.171,1.29,3772,0.28,0.006,0.31092436948661817,546
TLR8,ENSG00000101916,-1.214,-2.548,1.33,4325,0.277,0.006,0.31092436948661817,547
PKHD1,ENSG00000170927,-5.012,-6.506,1.49,790,0.116,0.006,0.31092436948661817,548
FRRS1,ENSG00000156869,1.085,0.357,0.73,6683,0.713,0.006,0.31092436948661817,549
TCTN3,ENSG00000119977,4.639,4.085,0.55,7831,1.0,0.006,0.31092436948661817,550
CASR,ENSG00000036828,-6.506,-9.966,3.46,866,0.051,0.006,0.31092436948661817,551
HFE,ENSG00000010704,2.224,1.604,0.62,7752,0.894,0.006,0.31092436948661817,552
ULBP1,ENSG00000111981,-2.245,-4.035,1.79,2355,0.172,0.006,0.31092436948661817,553
TMEM87A,ENSG00000103978,5.354,4.792,0.56,7835,1.0,0.006,0.31092436948661817,554
APLP2,ENSG00000084234,7.746,7.185,0.56,7835,1.0,0.006,0.31092436948661817,555
TNFSF8,ENSG00000106952,-0.134,-1.149,1.01,5938,0.47,0.006,0.31092436948661817,556
PRLR,ENSG00000113494,-1.041,-2.114,1.07,4843,0.381,0.006,0.31092436948661817,557
PANX2,ENSG00000073150,0.857,0.044,0.81,7193,0.632,0.006,0.31092436948661817,558
GLIPR1,ENSG00000139278,3.227,2.698,0.53,7827,0.969,0.006,0.31092436948661817,559
UPK3A,ENSG00000100373,-2.053,-3.458,1.41,2938,0.241,0.006,0.31092436948661817,560
CHRNA6,ENSG00000147434,-3.816,-9.966,6.15,986,0.033,0.006,0.31092436948661817,561
IL13RA1,ENSG00000131724,5.089,4.564,0.52,7834,0.999,0.006,0.31092436948661817,562
