gene,uniprot_id,pdb_file
ADAM17,P78536,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P78536-F1-model_v6.pdb
ACVR1,Q04771,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q04771-F1-model_v6.pdb
FCAMR,Q8WWV6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WWV6-F1-model_v6.pdb
STT3B,Q8TCJ2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TCJ2-F1-model_v6.pdb
TGFBR1,P36897,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P36897-F1-model_v6.pdb
C11orf24,Q96F05,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96F05-F1-model_v6.pdb
HLA-G,P17693,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P17693-F1-model_v6.pdb
MS4A15,Q8N5U1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N5U1-F1-model_v6.pdb
ICOSLG,O75144,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75144-F1-model_v6.pdb
CLDN12,P56749,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P56749-F1-model_v6.pdb
TCTN2,Q96GX1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96GX1-F1-model_v6.pdb
PLXNC1,O60486,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60486-F1-model_v6.pdb
TNFRSF10C,O14798,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14798-F1-model_v6.pdb
SLC43A2,Q8N370,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N370-F1-model_v6.pdb
KREMEN2,Q8NCW0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NCW0-F1-model_v6.pdb
CSF1R,P07333,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P07333-F1-model_v6.pdb
ANO1,Q5XXA6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5XXA6-F1-model_v6.pdb
APLP2,Q06481,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q06481-F1-model_v6.pdb
SLC44A1,Q8WWI5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WWI5-F1-model_v6.pdb
TMEM87A,Q8NBN3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8NBN3-F1-model_v6.pdb
MMEL1,Q495T6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q495T6-F1-model_v6.pdb
SLC3A2,P08195,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08195-F1-model_v6.pdb
